"mid","follower","sex","video","master","album","article","channel","time_ave20","play_ave20","weibo","wx","qq","taobao","mail","tiktok","redbook","self_tags","video_tag_combine","video_max_ratio"
72960,60612,"男",376,3,116,13,6,5748.4,3022.7,0,0,0,0,0,0,0,"[]","游戏",0.946808510638298
74507,135237,"男",259,0,13,0,0,2531.35,19473.35,0,0,0,0,0,0,0,"['天然卷发', '卷毛']","游戏",0.984555984555985
74549,50554,"保密",109,3,23,0,0,1755.55,32259.65,0,1,1,0,0,0,0,"[]","生活",0.917431192660551
76207,113,"男",86,0,0,0,0,329.85,3051.8,0,0,0,0,0,0,0,"[]","音乐",0.709302325581395
77398,1312,"保密",162,3,38,7,8,1661.3,1328.45,0,0,0,0,0,0,0,"[]","游戏",0.808641975308642
77939,6366,"男",111,3,6,0,8,911.4,6711.5,0,0,0,0,0,0,0,"[]","游戏",0.891891891891892
78201,149420,"女",175,3,155,2,7,244.35,97499.1,1,1,1,0,0,0,0,"['岗老师', '岗岗', '巨岗', '岚岚', '粤漫三色堇']","音乐",0.977142857142857
78270,4234,"女",285,0,0,0,0,287.05,14817.45,0,0,0,0,0,0,0,"[]","音乐",0.905263157894737
80304,311687,"男",155,3,32,9,7,422.85,236272.65,0,0,0,0,0,0,0,"[]","影视",0.470967741935484
81192,485240,"男",446,3,181,109,4,352,66811.15,1,0,0,0,0,0,0,"['宝可梦', '精灵宝可梦', '动漫']","动画",0.502242152466368
82389,77989,"男",856,3,464,5,9,5407.25,13103.7,0,0,0,0,0,0,0,"['影之诗', 'FGO']","游戏",0.990654205607477
84912,61638,"男",1009,3,180,2,3,2949.05,5930.3,0,0,0,0,0,0,0,"[]","游戏",0.994053518334985
85941,411,"男",56,0,0,0,0,475.55,6128.27777777777,0,0,0,0,0,0,0,"[]","生活",0.875
88153,13149,"保密",699,3,154,0,1,8255.9,712.95,0,0,0,0,0,0,0,"['神经病', '手脑双残', '恐怖', '游戏', 'mafiaflys']","游戏",0.984263233190272
88358,53103,"保密",132,3,238,0,0,6532.8,7333.75,1,0,0,0,0,0,0,"[]","游戏",0.909090909090909
88935,18912,"男",1295,3,198,3,10,9443.2,956.05,0,0,0,0,0,0,0,"['实况解说', 'PS4', '白金攻略', '全成就攻略', '丝末末']","游戏",0.996911196911197
89018,28557,"男",179,1,1,0,0,955.55,35791.25,0,0,0,0,0,0,0,"[]","游戏",0.994413407821229
89595,53584,"男",155,3,9,0,3,129.35,90859,0,0,0,0,0,0,0,"['配音', '北斗企鹅', '龙之谷', '偶尔鬼畜', '叮当']","动画",0.470967741935484
89623,13642,"保密",125,1,14,2,2,1032.5,7017.64705882353,1,0,1,1,1,0,0,"['CV', '桃夭', '配音', '里番']","动画",0.408
93335,4270,"保密",324,1,3,0,0,3308.05,1287.9,0,0,0,0,0,0,0,"[]","音乐",0.87962962962963
94186,23188,"男",69,1,14,0,8,1935.45,31063.7,0,0,0,0,0,0,0,"[]","游戏",0.797101449275362
94683,988,"男",267,1,0,0,0,1983.7,1173.41666666666,0,0,0,0,0,0,0,"[]","游戏",0.49812734082397
94803,203515,"保密",3142,0,0,0,0,745.95,9107.75,0,0,0,0,0,0,0,"[]","音乐",0.900700190961171
94955,9386,"女",338,0,0,0,0,420.4,14656.6,0,0,0,0,0,0,0,"[]","动画",0.819526627218935
95230,6625,"男",152,3,52,0,6,392.6,3784.75,0,0,0,0,0,0,0,"['爬宠', '捕鸟蛛', '蜈蚣', '蜘蛛']","生活",0.973684210526316
97126,19522,"保密",244,3,6,0,0,1575.5,14860.35,0,0,0,0,0,0,0,"[]","游戏",0.983606557377049
99673,142906,"男",74,2,142,0,0,218.1,85888.9,0,0,0,0,0,0,0,"[]","舞蹈",0.945945945945946
100302,50019,"男",74,3,96,0,0,337.65,58904.25,1,0,1,0,0,0,0,"[]","舞蹈",0.5
100691,24120,"女",75,3,31,0,7,1624.55,4354.7,0,0,0,0,0,0,0,"[]","生活",0.586666666666667
101186,8002,"男",308,3,0,0,0,8306.35,659.25,1,0,0,0,0,0,0,"['木下菌', '恐怖RPG', '单机', '生存', '联机']","游戏",0.987012987012987
